frc_time	Pair	Uwind	Vwind	Tair	Qair	rain	swrad	cloud	SST
2.541666746	1007.5	-1.037324905	2.708127975	30.79999924	67	0	966.666687	0.766666651	29
2.583333254	1007.5	0.060245074	2.799351692	31.79999924	66	0	947.222229	0.733333349	29
2.625	1007.200012	1.152874112	2.660992622	30.60000038	69	0	652.777771	0.699999988	29
2.666666746	1007	-0.751166284	1.96105814	31.39999962	68	0	344.444458	0.533333361	29
2.708333254	1007.299988	-2.999098301	1.376738906	30.39999962	69	0	152.777771	0.366666675	29
2.75	1007.5	-0.225779578	-3.492710114	30.79999924	66	0	180.5555573	0.200000003	29
2.791666746	1007.900024	-1.178958297	-2.429003239	30	71	0	80.55555725	0.13333334	29
2.833333254	1008.400024	-2.306722164	-2.070997953	29.20000076	74	0	11.11111069	0.06666667	29
2.875	1008.900024	-1.091628075	-2.249077082	28.70000076	76	0	0	0	29
2.916666746	1009	-1.711439013	-1.536546946	28.5	75	0	0	0	29
2.958333254	1009	-2.232311726	-2.004191637	28	76	0	0	0	29
3	1009.099976	-1.785849452	-1.603353262	27.79999924	78	0	0	0	29
3.041666746	1008.799988	-1.190566301	-1.068902135	27.89999962	79	0	0	0	29
3.083333254	1008.400024	-0.960632682	-1.979187965	27.60000038	79	0	0	0	29
3.125	1008	-1.711439013	-1.536546946	27.39999962	80	0	0	0	29
3.166666746	1007.900024	-1.091628075	-2.249077082	27.20000076	81	0	0	0.06666667	29
3.208333254	1007.799988	-2.009080648	-1.803772449	26.89999962	81	0	0	0.13333334	29
3.25	1007.799988	-1.93467021	-1.736966014	27	80	0	2.777777672	0.200000003	29
3.291666746	1007.900024	-1.488207936	-1.336127758	27.10000038	81	0	38.88888931	0.233333334	29
3.333333254	1008	-1.26497674	-1.13570857	28.79999924	74	0	191.6666718	0.266666681	29
3.375	1008.299988	-2.397777796	0.103253357	29.5	68	0	372.222229	0.300000012	29
3.416666746	1008.700012	-2.697500229	0.116160028	30	66	0	588.888916	0.5	29
3.458333254	1008.5	-4.634970188	2.127687454	31.79999924	62	0	636.111084	0.699999988	29
3.5	1008.400024	-1.778190494	1.896849632	29.89999962	68	0	355.555542	0.899999976	29
3.541666746	1007.799988	1.21494472	1.189079165	29.79999924	68	0	238.8888855	0.833333313	29
3.583333254	1007.099976	-1.36783886	1.459115148	30.20000076	66	0	352.777771	0.766666651	29
3.625	1007	-0.214618936	0.560302317	30.20000076	67	0	244.4444427	0.699999988	29
3.666666746	1007.099976	-3.19964695	-2.872674704	30.39999962	66	0	236.1111145	0.466666669	29
3.708333254	1006.799988	-3.274057388	-2.93948102	30.70000076	64	0	427.777771	0.233333334	29
3.75	1006.900024	-4.612454891	-1.653862238	30	66	0	280.555542	0	29
3.791666746	1007.099976	-2.753184557	-2.471836329	29.20000076	69	0	83.33333588	0.033333335	29
3.833333254	1007.200012	-2.447425127	-0.877559543	28.70000076	71	0	8.333333015	0.06666667	29
3.875	1007.299988	-3.296944618	0.141973376	28.89999962	72	0	0	0.100000001	29
3.916666746	1007.900024	-1.413797498	-1.269321322	28.5	73	0	0	0.083333336	29
3.958333254	1008.400024	-0.698641956	-1.439409375	28	75	0	0	0.06666667	29
4	1008.599976	-0.141918585	-2.195417643	27.79999924	78	0	0	0.050000001	29
