Title=free-surface from YAEYAMA2 Test Case				
				
"Legend=(eta_rho, xi_rho) = (23.9666, 123.603)"				
ocean_time (seconds since 2000-01-01 00:00:00)	zeta (meter)			
560066432	1.287485
560070016	1.317135
560073600	1.285452
560077184	1.212906
560080768	1.121695
560084416	1.041704
560088000	1.002443
560091584	1.003991
560095232	1.056307
560098816	1.14559	
560102400	1.243909
560105984	1.328867
560109568	1.370813
560113216	1.349883
560116800	1.261219
560120384	1.108217
560124032	0.924422
560127616	0.746272
560131200	0.613389
560134784	0.552967
560138368	0.584386
560142016	0.701562
560145600	0.877697
560149184	1.072047
560152832	1.2458	
560156416	1.361437
560160000	1.391866
560163584	1.340305
560167168	1.213003
560170816	1.05803	
560174400	0.922347
560177984	0.851368
560181632	0.854515
560185216	0.937136
560188800	1.079119
560192384	1.240623
560195968	1.383772
560199616	1.460775
560203200	1.440291
560206784	1.316815
560210432	1.110075
560214016	0.868131
560217600	0.644677
560221184	0.484925
560224768	0.430596
560228416	0.494978
560232000	0.667441
560235584	0.906058
560239232	1.15774	
560242816	1.365557
560246400	1.47503	
560249984	1.464136
560253568	1.341311
560257216	1.144688
560260800	0.932169
560264384	0.768125
560268032	0.699113
560271616	0.73845	
560275200	0.872923
560278784	1.082912
560282368	1.307991
560286016	1.480358
560289600	1.55438	
560293184	1.493974
560296832	1.318931
560300416	1.053883
560304000	0.759817
560307584	0.506612
560311168	0.363396
560314816	0.360608
560318400	0.496972
560321984	0.744332
560325632	1.042583
560329216	1.318153
560332800	1.503834
560336384	1.55451	
560339968	1.463541
560343616	1.246123
560347200	0.975246
560350784	0.717457
560354432	0.550799
560358016	0.517173
560361600	0.622524
560365184	0.845845
560368768	1.127798
560372416	1.40521	
560376000	1.596384
560379584	1.651956
560383232	1.543197
560386816	1.296653
560390400	0.970138
560393984	0.648154
560397568	0.403919
560401216	0.297253
560404800	0.358173
560408384	0.575113
560412032	0.887411
560415616	1.222931
560419200	1.495555
560422784	1.635885
560426368	1.615007
560430016	1.427342
560433600	1.130891
560437184	0.80501	
560440832	0.543593
560444416	0.415811
560448000	0.447382
560451584	0.641302
560455168	0.950768
560458816	1.294704
560462400	1.58408	
560465984	1.756378
560469632	1.750858
560473216	1.557692
560476800	1.230705
560480384	0.854288
560483968	0.519157
560487616	0.307182
560491200	0.269756
560494784	0.423324
560498432	0.715999
560502016	1.075724
560505600	1.420722
560509184	1.65101	
560512768	1.712901
560516416	1.583166
560520000	1.29261	
560523584	0.921483
560527232	0.56602	
560530816	0.321011
560534400	0.253662
560537984	0.377456
560541568	0.665132
560545216	1.045192
560548800	1.428694
560552384	1.717325
560556032	1.82946	
560559616	1.746392
560563200	1.474967
560566784	1.093841
560570368	0.69566	
560574016	0.393393
560577600	0.270035
560581184	0.334128
560584832	0.574682
560588416	0.939457
560592000	1.310953
560595584	1.61977	
560599168	1.770442
560602816	1.720369
560606400	1.480574
560609984	1.101847
560613632	0.686388
560617216	0.335417
560620800	0.150969
560624384	0.172713
560627968	0.385478
560631616	0.743045
560635200	1.151921
560638784	1.518319
560642432	1.761221
560646016	1.814407
560649600	1.655013
560653184	1.329013
560656768	0.926852
560660416	0.565689
560664000	0.329869
560667584	0.280788
560671232	0.430775
560674816	0.744543
560678400	1.133875
560681984	1.490574
560685568	1.732362
560689216	1.807965
560692800	1.664243
560696384	1.349324
560700032	0.929637
560703616	0.5131	
560707200	0.205167
560710784	0.084757
560714368	0.166632
560718016	0.436261
560721600	0.826269
560725184	1.227362
560728832	1.556677
560732416	1.747094
560736000	1.729356
560739584	1.524803
560743168	1.178852
560746816	0.80479	
560750400	0.506532
560753984	0.358734
560757632	0.398981
560761216	0.617806
560764800	0.965433
560768384	1.335943
560771968	1.647192
560775616	1.826706
560779200	1.809038
560782784	1.595228
560786432	1.216602
560790016	0.775421
560793600	0.390062
560797184	0.136885
560800768	0.076245
560804416	0.220138
560808000	0.529727
560811584	0.914029
560815232	1.293352
560818816	1.582433
560822400	1.709091
560825984	1.6489	
560829568	1.420262
560833216	1.092238
560836800	0.771983
560840384	0.538247
560844032	0.46372	
560847616	0.571709
560851200	0.825606
560854784	1.164656
560858368	1.48562	
560862016	1.737821
560865600	1.832581
560869184	1.74476	
560872832	1.475927
560876416	1.087688
560880000	0.670557
560883584	0.330988
560887168	0.135372
560890816	0.131953
560894400	0.303153
560897984	0.604093
560901632	0.954893
560905216	1.298526
560908800	1.5315580
560912384	1.6051990
560915968	1.51873	
560919616	1.3036130
560923200	1.0249040
560926784	0.7710850
560930432	0.6140570
560934016	0.6048150
560937600	0.7381720
560941184	0.98481	
560944768	1.2877970
560948416	1.5617030
560952000	1.7448730
560955584	1.7708810
560959232	1.6361790
560962816	1.3589630
560966400	0.99548	
560969984	0.6350440
560973568	0.3457030
560977216	0.2005960
560980800	0.2219370
560984384	0.3920650
560988032	0.6564560
560991616	0.9484710
560995200	1.22074	
560998784	1.4004241
561002368	1.4607761
561006016	1.3920021
561009600	1.2238991
561013184	1.0110571
561016832	0.8292041
561020416	0.7384811
561024000	0.7538031
561027584	0.8790311
561031168	1.08627	
561034816	1.3227531
561038400	1.5434731
561041984	1.67607	
561045632	1.6827571
561049216	1.5556961
561052800	1.31619	
561056384	1.0120561
561059968	0.7087961
561063616	0.4711031
561067200	0.3407981
561070784	0.3472271
561074432	0.4801131
561078016	0.6918181
561081600	0.9430742
561085184	1.16466	
561088768	1.3159812
561092416	1.3885582
561096000	1.3523792
561099584	1.2375622
561103232	1.0843072
561106816	0.9537852
561110400	0.8817342
561113984	0.88697	
561117568	0.9798932
561121216	1.1395832
561124800	1.3174112
561128384	1.4778042
561132032	1.5908012
561135616	1.6065932
561139200	1.5182842
561142784	1.3280442
561146368	1.08004	
561150016	0.8177492
561153600	0.60206	
561157184	0.4679232
561160832	0.4331852
561164416	0.5039782
561168000	0.6547643
561171584	0.8533413
561175168	1.0599073
561178816	1.23485	
561182400	1.3408523
561185984	1.35846	
561189632	1.3033163
561193216	1.1927633
561196800	1.0739173
561200384	0.9915313
561203968	0.9709413
561207616	1.0168133
561211200	1.1280783
561214784	1.2632693
561218432	1.40456	
561222016	1.5224993
561225600	1.5828073
561229184	1.5536253
561232768	1.4279393
561236416	1.2254383
561240000	0.9847053
561243584	0.7533523
561247232	0.5799373
561250816	0.4956793
561254400	0.5081824
561257984	0.6172464
561261568	0.7949254
561265216	1.0081634
561268800	1.2119274
561272384	1.3608424
561276032	1.4271624
561279616	1.3991964
561283200	1.2944454
561286784	1.1470634
561290368	1.0102294
561294016	0.9199814
561297600	0.9089344
561301184	0.9689874
561304832	1.0971014
561308416	1.2617214
561312000	1.4320824
561315584	1.5479384
561319168	1.5776744
561322816	1.4985814
561326400	1.3161944
561329984	1.0670464
561333632	0.8067534
561337216	0.5877634
561340800	0.46255	
561344384	0.4468965
561347968	0.5469125
561351616	0.74539	
561355200	0.9931745
561358784	1.2431245
561362432	1.43713	
561366016	1.5231495
561369600	1.4911535
561373184	1.3545665
561376768	1.1608485
561380416	0.9649835
561384000	0.8179285
561387584	0.7618025
561391232	0.8089575
561394816	0.9593095
561398400	1.1637295
561401984	1.3826755
561405568	1.5580495
561409216	1.6330015
561412800	1.5781075
561416384	1.3898835
561420032	1.1145465
561423616	0.81678	
561427200	0.5629136
561430784	0.4088436
561434368	0.3956116
561438016	0.5158346
561441600	0.7476086
561445184	1.0415846
561448832	1.3313616
561452416	1.5375696
561456000	1.6185946
561459584	1.5496636
561463168	1.3609886
561466816	1.1032726
561470400	0.8522126
561473984	0.66888	
561477632	0.6038076
561481216	0.6718526
561484800	0.8614	
561488384	1.1263946
561491968	1.4052316
561495616	1.6232686
561499200	1.7251156
561502784	1.66842	
561506432	1.4549796
561510016	1.1485636
561513600	0.8254947
561517184	0.5729797
561520768	0.4325577
561524416	0.4439117
561528000	0.6061947
561531584	0.8730537
561535232	1.2031467
561538816	1.4925767
561542400	1.6838777
561545984	1.71342	
561549568	1.5751747
561553216	1.3101967
561556800	0.9949537
561560384	0.7098587
561564032	0.5280567
561567616	0.4869987
561571200	0.6029927
561574784	0.84464	
561578368	1.1570497
561582016	1.4805947
561585600	1.7057687
561589184	1.78164	
561592832	1.69149	
561596416	1.4433087
561600000	1.1057838
561603584	0.76348	
561607168	0.5185528
561610816	0.4194798
561614400	0.4889098
561617984	0.7120828
561621632	1.0332088
561625216	1.3734658
561628800	1.6438318
561632384	1.7725138
561635968	1.7255318
561639616	1.50452	
561643200	1.16506	
561646784	0.8050838
561650432	0.5172928
561654016	0.3678828
561657600	0.3905728
561661184	0.5807828
561664768	0.8912738
561668416	1.2471288
561672000	1.5610568
561675584	1.7629878
561679232	1.7833478
561682816	1.6263538
561686400	1.3287029
561689984	0.9781239
561693568	0.6672339
561697216	0.47402	
561700800	0.45844	
561704384	0.6078079
561708032	0.8895839
561711616	1.2382329
561715200	1.5609539
561718784	1.7779369
561722368	1.82822	
561726016	1.6891499
561729600	1.3864549
561733184	1.0047449
561736832	0.6453319
561740416	0.4022399
561744000	0.3215429
561747584	0.41559	
561751168	0.6645789
561754816	1.0174189
561758400	1.3724359
561761984	1.6501499
561765632	1.7836249
561769216	1.73252	
561772800	1.51107	
561776384	1.1906280
561779968	0.8584270
561783616	0.6161450
561787200	0.5186620
561790784	0.5910460
561794432	0.8140020
561798016	1.1341420
561801600	1.4668380
561805184	1.7346920
561808768	1.86473	
561812416	1.8039580
561816000	1.5636060
561819584	1.2004450
561823232	0.8090490
561826816	0.4859440
561830400	0.3043810
561833984	0.3089770
561837568	0.4884660
561841216	0.7942410
561844800	1.1553630
561848384	1.4875580
561852032	1.7081960
561855616	1.7620740
561859200	1.6376511
561862784	1.3862561
561866368	1.0614141
561870016	0.7806911
561873600	0.6138361
561877184	0.6027851
561880832	0.7445011
561884416	1.0060061
561888000	1.3247131
561891584	1.6172341
561895168	1.8075141
561898816	1.8288421
561902400	1.6643931
561905984	1.3568421
561909632	0.9722331
561913216	0.60724	
561916800	0.3559931
561920384	0.2612081
561923968	0.3437261
561927616	0.5837881
561931200	0.9123471
561934784	1.2544031
561938432	1.5255411
561942016	1.6657671
561945600	1.6425582
561949184	1.4738362
561952768	1.2000252
561956416	0.9091312
561960000	0.6863452
561963584	0.6073652
561967232	0.6821422
561970816	0.8938212
561974400	1.1815	
561977984	1.47083	
561981568	1.6904232
561985216	1.7862922
561988800	1.7114632
561992384	1.4754422
561996032	1.1331222
561999616	0.7623672
562003200	0.4527482
562006784	0.2806482
562010368	0.27187	
562014016	0.4260672
562017600	0.6930562
562021184	1.0081552
562024832	1.2934052
562028416	1.4820922
562032000	1.5345313
562035584	1.4513833
562039168	1.2436553
562042816	0.9807493
562046400	0.7529013
562049984	0.6209773
562053632	0.6319353
562057216	0.7854183
562060800	1.0279593
562064384	1.3066643
562067968	1.5616833
562071616	1.7148863
562075200	1.7265123
562078784	1.56603	
562082432	1.2843433
562086016	0.9441553
562089600	0.6141083
562093184	0.3792823
562096768	0.2844373
562100416	0.3477343
562104000	0.5442793
562107584	0.8152153
562111232	1.1032553
562114816	1.3328863
562118400	1.4565284
562121984	1.4552654
562125568	1.3329914
562129216	1.1312534
562132800	0.9154244
562136384	0.7552274
562140032	0.7008764
562143616	0.7749394
562147200	0.9544874
562150784	1.1890864
562154368	1.4165044
562158016	1.5842314
562161600	1.6540154
562165184	1.5838024
562168832	1.3888854
562172416	1.0983284
562176000	0.78515	
