Title=potential temperature from YAEYAMA2 Test Case

Legend=(s_rho, eta_rho, xi_rho) = (-0.1, 23.9666, 123.603)
ocean_time (seconds since 2000-01-01 00:00:00)	temp (Celsius)
558835200.000000	28.329418
558838784.000000	28.348434
558842368.000000	28.356968
558846016.000000	28.390484
558849600.000000	28.425453
558853184.000000	28.452700
558856832.000000	28.511446
558860416.000000	28.482716
558864000.000000	28.498951
558867584.000000	28.460932
558871168.000000	28.417711
558874816.000000	28.363895
558878400.000000	28.319242
558881984.000000	28.275642
558885632.000000	28.249544
558889216.000000	28.267752
558892800.000000	28.246847
558896384.000000	28.202644
558899968.000000	28.184187
558903616.000000	28.273470
558907200.000000	28.251202
558910784.000000	28.244278
558914432.000000	28.243425
558918016.000000	28.242283
558921600.000000	28.259365
558925184.000000	28.264050
558928768.000000	28.258158
558932416.000000	28.230423
558936000.000000	28.370169
558939584.000000	28.310450
558943232.000000	28.276037
558946816.000000	28.234169
558950400.000000	28.213678
558953984.000000	28.226036
558957568.000000	28.385866
558961216.000000	28.542995
558964800.000000	28.595554
558968384.000000	28.719940
558972032.000000	28.675064
558975616.000000	28.553715
558979200.000000	28.520252
558982784.000000	28.575357
558986368.000000	28.649113
558990016.000000	28.599976
558993600.000000	28.547634
558997184.000000	28.488373
559000832.000000	28.454281
559004416.000000	28.386528
559008000.000000	28.295210
559011584.000000	28.266163
559015168.000000	28.304399
559018816.000000	28.311069
559022400.000000	28.333263
559025984.000000	28.378929
559029632.000000	28.374409
559033216.000000	28.434511
559036800.000000	28.501507
559040384.000000	28.437229
559043968.000000	28.478724
559047616.000000	28.198620
559051200.000000	27.997061
559054784.000000	27.960037
559058432.000000	28.012831
559062016.000000	27.969030
559065600.000000	28.204266
559069184.000000	28.344458
559072768.000000	28.223738
559076416.000000	28.305450
559080000.000000	28.368351
559083584.000000	28.353262
559087232.000000	28.353884
559090816.000000	28.354658
559094400.000000	28.351139
559097984.000000	28.335360
559101568.000000	28.377968
